Rank,CCA3,Country/Territory,Capital,Continent,2023 population,2022 Population,2020 Population,2015 Population,2010 Population,2000 Population,1990 Population,1980 Population,1970 Population,Area (km_),density (km¬≤),growth rate,world percentage
231,FLK,Falkland Islands,Stanley,South America,3791,3780,3747,3408,3187,3080,2332,2240,2274,12173,0,0.29%,0.00%
209,FRO,Faroe Islands,Tórshavn,Europe,53270,53090,52415,48816,48410,45660,47479,43054,38416,1393,39,0.34%,0.00%
162,FJI,Fiji,Suva,Oceania,936375,929766,920422,917200,905169,832509,780430,644582,527634,18272,51,0.71%,0.01%
118,FIN,Finland,Helsinki,Europe,5545475,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,338424,18,0.09%,0.07%
23,FRA,France,Paris,Europe,64756584,64626628,64480053,63809769,62444567,58665453,56412897,53713830,50523586,551695,118,0.20%,0.81%
184,GUF,French Guiana,Cayenne,South America,312155,304557,290969,257026,228453,164351,113931,66825,46484,83534,4,2.49%,0.00%
183,PYF,French Polynesia,Papeete,Oceania,308872,306279,301920,291787,283788,250927,211089,163591,117891,4167,89,0.85%,0.00%
146,GAB,Gabon,Libreville,Africa,2436566,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,267668,9,1.99%,0.03%
142,GMB,Gambia,Banjul,Africa,2773168,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,10689,274,2.48%,0.03%
131,GEO,Georgia,Tbilisi,Asia,3728282,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,69700,54,-0.43%,0.05%
19,DEU,Germany,Berlin,Europe,83294633,83369843,83328988,82073226,81325090,81551677,79370196,77786703,78294583,357114,238,-0.09%,1.04%
47,GHA,Ghana,Accra,Africa,34121985,33475870,32180401,28870939,25574719,19665502,15446982,11865246,8861895,238533,150,1.93%,0.43%
219,GIB,Gibraltar,Gibraltar,Europe,32688,32649,32709,32520,31262,27741,27317,28734,26685,6,4807,0.12%,0.00%
90,GRC,Greece,Athens,Europe,10341277,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,131990,80,-0.42%,0.13%
208,GRL,Greenland,Nuuk,North America,56643,56466,56026,55895,56351,56184,55599,50106,45434,2166086,0,0.31%,0.00%
193,GRD,Grenada,Saint George's,North America,126183,125438,123663,118980,114039,107432,99047,94838,98794,344,371,0.59%,0.00%
178,GLP,Guadeloupe,Basse-Terre,North America,395839,395752,395642,399089,403072,424067,391951,334234,318310,1628,243,0.02%,0.00%
191,GUM,Guam,Hagåtña,Oceania,172952,171774,169231,167978,164905,160188,138263,110286,88300,549,320,0.69%,0.00%
68,GTM,Guatemala,Guatemala City,North America,18092026,17843908,17362718,16001107,14543121,11735894,9084780,6987767,5453208,108889,169,1.39%,0.23%
207,GGY,Guernsey,Saint Peter Port,Europe,63544,63301,62794,61629,60782,59114,57727,52860,52656,78,1009,0.38%,0.00%
75,GIN,Guinea,Conakry,Africa,14190612,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,245857,58,2.39%,0.18%
149,GNB,Guinea-Bissau,Bissau,Africa,2150842,2105566,2015828,1788919,1567220,1230849,973551,831462,591663,36125,76,2.15%,0.03%
164,GUY,Guyana,Georgetown,South America,813834,808726,797202,755031,747932,759051,747116,778176,705261,214969,4,0.63%,0.01%
82,HTI,Haiti,Port-au-Prince,North America,11724763,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,27750,425,1.21%,0.15%
89,HND,Honduras,Tegucigalpa,North America,10593798,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,112492,95,1.54%,0.13%
104,HKG,Hong Kong,Hong Kong,Asia,7491609,7488865,7500958,7399838,7132438,6731195,5838574,4978544,3955072,1104,7135,0.04%,0.09%
94,HUN,Hungary,Budapest,Europe,10156239,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,93028,111,1.90%,0.13%
179,ISL,Iceland,Reykjavík,Europe,375318,372899,366669,331060,318333,281462,255019,228263,204468,103000,4,0.65%,0.00%
2,IND,India,New Delhi,Asia,1428627663,1417173173,1396387127,1322866505,1240613620,1059633675,870452165,696828385,557501301,3287590,481,0.81%,17.85%
4,IDN,Indonesia,Jakarta,Asia,277534122,275501339,271857970,259091970,244016173,214072421,182159874,148177096,115228394,1904569,148,0.74%,3.47%
17,IRN,Iran,Tehran,Asia,89172767,88550570,87290193,81790841,75373855,65544383,55793629,38520664,28449705,1648195,55,0.70%,1.11%
35,IRQ,Iraq,Baghdad,Asia,45504560,44496122,42556984,37757813,31264875,24628858,17658381,13653369,9811347,438317,105,2.27%,0.57%
125,IRL,Ireland,Dublin,Europe,5056935,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,70273,73,0.67%,0.06%
202,IMN,Isle of Man,Douglas,Europe,84710,84519,84046,83593,83828,75562,68865,64022,55298,572,149,0.23%,0.00%
98,ISR,Israel,Jerusalem,Asia,9174520,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,20770,424,1.51%,0.11%
25,ITA,Italy,Rome,Europe,58870762,59037474,59500579,60232906,59822450,56966397,56756561,56329482,53324036,301336,199,-0.28%,0.74%
52,CIV,Ivory Coast,Yamoussoukro,Africa,28873034,28160542,26811790,23596741,21120042,16799670,11910540,8303809,5477086,322463,91,2.53%,0.36%
139,JAM,Jamaica,Kingston,North America,2825544,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,10991,261,-0.06%,0.04%
11,JPN,Japan,Tokyo,Asia,123294513,123951692,125244761,127250933,128105431,126803861,123686321,117624196,105416839,377930,338,-0.53%,1.54%
195,JEY,Jersey,Saint Helier,Europe,111802,110778,108319,100561,96151,86192,82874,75124,68347,116,932,0.92%,0.00%
83,JOR,Jordan,Amman,Asia,11337052,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,89342,128,0.45%,0.14%
66,KAZ,Kazakhstan,Nursultan,Asia,19606633,19397998,18979243,17835909,16627837,15236253,16866563,14172710,12265305,2724900,7,1.08%,0.24%
27,KEN,Kenya,Nairobi,Africa,55100586,54027487,51985780,46851488,41517895,30851606,23162269,16187124,11473087,580367,97,1.99%,0.69%
192,KIR,Kiribati,Tarawa,Oceania,133515,131232,126463,116707,107995,88826,75124,60813,57437,811,165,1.74%,0.00%
129,KWT,Kuwait,Kuwait City,Asia,4310108,4268873,4360444,3908743,2943356,1934901,1674938,1493870,802786,17818,242,0.97%,0.05%
110,KGZ,Kyrgyzstan,Bishkek,Asia,6735347,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,199951,35,1.58%,0.08%
103,LAO,Laos,Vientiane,Asia,7633779,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,236800,33,1.39%,0.10%
151,LVA,Latvia,Riga,Europe,1830211,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,64559,29,-1.10%,0.02%
119,LBN,Lebanon,Beirut,Asia,5353930,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,10452,523,-2.47%,0.07%
147,LSO,Lesotho,Maseru,Africa,2330318,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,30355,77,1.06%,0.03%
121,LBR,Liberia,Monrovia,Africa,5418377,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,111369,56,2.18%,0.07%
107,LBY,Libya,Tripoli,Africa,6888388,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,1759540,4,1.12%,0.09%
216,LIE,Liechtenstein,Vaduz,Europe,39584,39327,38756,37355,35926,33026,28765,25003,21089,160,247,0.65%,0.00%
141,LTU,Lithuania,Vilnius,Europe,2718352,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,65300,43,-1.15%,0.03%
168,LUX,Luxembourg,Luxembourg,Europe,654768,647599,630399,569408,507070,435628,381267,363741,339342,2586,254,1.11%,0.01%
167,MAC,Macau,Concelho de Macau,Asia,704149,695168,676283,615239,557297,431896,350227,245332,247284,30,21403,1.29%,0.01%
50,MDG,Madagascar,Antananarivo,Africa,30325732,29611714,28225177,24850912,21731053,16216431,11882762,8948162,6639751,587041,52,2.41%,0.38%
62,MWI,Malawi,Lilongwe,Africa,20931751,20405317,19377061,16938942,14718422,11229387,9539665,6267369,4625141,118484,222,2.58%,0.26%
45,MYS,Malaysia,Kuala Lumpur,Asia,34308525,33938221,33199993,31068833,28717731,22945150,17517054,13215707,10306508,330803,104,1.09%,0.43%
