rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
73,KHM,Cambodia,Phnom Penh,Asia,16944826,16767842,16396860,15417523,14363532,12118841,8910808,6198959,6708525,181035,96,1.06%,0.21%,39.82216616258931,14.156183868981529,0.014680682701065928,18764753.366024327,37.05650840997597,66.94197807053885,93.59972381031292,Developing
53,CMR,Cameroon,Yaounde,Africa,28647293,27914536,26491087,23012646,19878036,15091594,11430520,8519891,6452787,475442,61,2.63%,0.36%,89.82284442584395,33.26813071472453,0.02825802514289122,34817560.8923757,13.57218546110777,31.742239852600317,60.25402257267974,Developing
39,CAN,Canada,Ottawa,North America,38781291,38454327,37888705,35732126,33963412,30683313,27657204,24511510,21434577,9984670,4,0.85%,0.48%,26.392123953498764,11.557416551670368,0.0102354616772653,41646693.5125823,2.146748665704525,3.0730422738057444,3.8840833998519733,Developed
171,CPV,Cape Verde,Praia,Africa,598682,593149,582640,552166,521212,458251,364563,317234,287262,4033,148,0.93%,0.01%,30.6449958647117,11.785607392001719,0.01169012788495638,649424.6752755515,71.22787007190676,113.62534093726754,148.44582196875774,Developing
205,CYM,Cayman Islands,George Town,North America,69310,68706,67311,60911,54074,39658,26027,17100,10533,264,289,0.88%,0.00%,74.76927732109536,24.47941709509191,0.024570767007612293,82146.60549835458,39.89772727272727,150.21969696969697,262.5378787878788,Developing
117,CAF,Central African Republic,Bangui,Africa,5742315,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,622984,9,2.92%,0.07%,52.75486344059992,14.655433065661933,0.018590882906614592,6532591.549904642,3.3184736686656477,6.034135708140177,9.217435760790003,Developing
69,TCD,Chad,N'Djamena,Africa,18278568,17723315,16644701,14140274,11894727,8259137,5827069,4408230,3667394,1284000,15,3.13%,0.23%,121.31329217568374,39.93344277678672,0.035142943767098034,23277934.988453675,2.856225856697819,6.43234968847352,14.235644859813084,Developing
65,CHL,Chile,Santiago,South America,19629590,19603733,19300315,17870124,17004162,15351799,13342868,11469828,9820481,756102,26,0.13%,0.25%,27.865079525858828,13.503476384193469,0.010744505772073198,21154411.764115922,12.988301842873051,20.303873022422902,25.961563386950438,Developing
1,CHN,China,Beijing,Asia,1425671352,1425887337,1424929781,1393715448,1348191368,1264099069,1153704252,982372466,822534450,9706961,151,-0.02%,17.81%,12.78161553649558,5.691952553726779,0.005243401240270673,1478829274.9729657,84.73655658037568,130.22603768573913,146.87102915114215,Developed
28,COL,Colombia,Bogota,South America,52085168,51874024,50930662,47119728,44816108,39215135,32601393,26176195,20905254,1141748,47,0.41%,0.65%,32.81904550373217,13.643652411762305,0.01241633995383662,56784275.66850215,18.30986697590011,34.34657647747139,45.61879504058689,Developing
163,COM,Comoros,Moroni,Africa,852075,836774,806166,730216,656024,536758,431119,328328,242351,1862,458,1.83%,0.01%,58.74472294777162,22.88666268307257,0.020295700148944995,980754.2934983644,130.156283566058,288.26960257787323,457.6127819548872,Developing
223,COK,Cook Islands,Avarua,Oceania,17044,17011,17029,17695,17212,15897,17123,17651,20470,236,71,0.19%,0.00%,7.2151978360696996,-1.0632117127585405,0.0030336279669482824,17409.246728694718,86.73728813559322,67.36016949152543,72.22033898305085,Developing
124,CRI,Costa Rica,San Jos,North America,5212173,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,51100,102,0.60%,0.07%,30.985679759689965,10.835692212367478,0.01180468905654064,5658425.945271705,36.315009784735814,77.87070450097848,101.99947162426615,Developing
130,HRV,Croatia,Zagreb,Europe,4008617,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,56594,72,-0.54%,0.05%,-11.868194635780139,-6.221876529351415,-0.005477841775130332,3857410.073560561,79.38364490935435,80.3695444746793,70.83113050853447,Developing
85,CUB,Cuba,Havana,North America,11194449,11212191,11300698,11339894,11290417,11105791,10626680,9809107,8869636,109884,108,-0.16%,0.14%,0.7983042360512637,0.09105952419649337,0.0003457704801677064,11221572.092166604,80.7181755305595,101.06831749845291,101.8751501583488,Developing
189,CUW,Curacao,Willemstad,North America,192077,191163,189288,169572,159380,141424,155446,156851,150385,444,433,0.48%,0.00%,35.81641022740129,18.76521520893462,0.0133991425585549,210833.2441624007,338.7049549549549,318.52252252252254,432.60585585585585,Developing
158,CYP,Cyprus,Nicosia,Europe,1260138,1251488,1237537,1187280,1129686,948237,788500,679327,640804,9251,136,0.69%,0.02%,32.89272618554222,9.546989163360438,0.012440752292912638,1374059.164618655,69.26861960869095,102.50102691600908,136.21640903686088,Developing
88,CZE,Czech Republic,Prague,Europe,10495295,10493986,10530953,10523798,10464749,10234710,10301192,10270060,9795744,78865,136,0.01%,0.13%,2.546090705061501,0.6326382027891926,0.0010937358209204273,10575912.69849523,124.20901540607368,129.7750586445191,133.07924935015532,Developing
115,DNK,Denmark,Copenhagen,Europe,5910913,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,43094,148,0.49%,0.07%,10.677679048730916,4.95044992216506,0.004420699056886912,6096269.329122315,114.2377825219288,123.93036153524852,137.16324778391424,Developing
160,DJI,Djibouti,Djibouti,Africa,1136455,1120849,1090156,1006259,919199,742033,577173,324121,144379,23200,49,1.39%,0.01%,53.1542397710075,18.598475411744356,0.018706525218214587,1293885.5409393306,6.223232758620689,31.98418103448276,48.985129310344824,Developing
204,DMA,Dominica,Roseau,North America,73040,72737,71995,70007,68755,68346,69481,72978,68895,751,97,0.42%,0.00%,6.867995200889592,4.7123845538506295,0.002892182885614547,74531.60743509773,91.73768308921439,91.00665778961385,97.25699067909454,Developing
84,DOM,Dominican Republic,Santo Domingo,North America,11332972,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,48671,235,0.93%,0.14%,32.692299811574834,12.519841178507441,0.012374315464098284,12351839.619384171,91.96176367857656,175.48008054077377,232.8485545807565,Developing
15,COD,DR Congo,Kinshasa,Africa,102262808,99010212,92853164,78656904,66391257,48616317,35987541,26708686,20151733,2344858,45,3.29%,1.28%,110.34667846188349,39.85751768489637,0.032858150106200634,128233790.33876535,8.594009957106145,20.733160387537325,43.61151421535973,Developing
67,ECU,Ecuador,Quito,South America,18190484,18001000,17588595,16195902,14989585,12626507,10449837,8135845,6172215,276841,73,1.05%,0.23%,44.065844972010076,17.338772220845343,0.01600058465221288,20328342.049796272,22.295162205020212,45.609237793534916,65.70733381254944,Developing
14,EGY,Egypt,Cairo,Africa,112716598,110990103,107465134,97723799,87252413,71371371,57214630,43748556,34781986,1002450,113,1.56%,1.41%,57.92970825795122,23.165801729747002,0.02006738590010948,129535828.93802963,34.69697840291286,71.19693850067335,112.44111726270637,Developing
112,SLV,El Salvador,San Salvador,North America,6364943,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,21041,307,0.45%,0.08%,6.821552872023445,2.9227348097835244,0.0028732296650029188,6494067.355315205,172.0018059978138,283.1843543557816,302.5019248134594,Developing
152,GNQ,Equatorial Guinea,Malabo,Africa,1714671,1674908,1596049,1346973,1094524,684977,465549,282509,316955,28051,61,2.37%,0.02%,150.32533939095765,45.82128852359564,0.04070177729936608,2267069.7206664057,11.299240668781861,24.418986845388755,61.12691169655271,Developing
132,ERI,Eritrea,Asmara,Africa,3748901,3684032,3555868,3340006,3147727,2392880,2149960,1657982,1272748,117600,31,1.76%,0.05%,56.66899301260406,12.966213397794663,0.01971198562553811,4297804.337437007,10.822687074829933,20.347619047619048,31.878409863945578,Developing
156,EST,Estonia,Tallinn,Europe,1322765,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,45227,31,-0.25%,0.02%,-5.305549450667453,-0.15703680338857035,-0.0023674014413932465,1300999.4614524713,30.114732350144823,30.88590885975192,29.2472416919097,Developing
159,SWZ,Eswatini,Mbabane,Africa,1210822,1201670,1180655,1133936,1099920,1030496,854011,598564,442865,17364,70,0.76%,0.02%,17.498951960997424,7.340079278492981,0.00703590728898118,1271730.235360252,25.504780004607234,59.3466943100668,69.73174383782539,Developing
12,ETH,Ethiopia,Addis Ababa,Africa,126527060,123379924,117190911,102471895,89237791,67031867,47878073,34945469,28308246,1104300,112,2.55%,1.58%,88.75658050819322,31.324307433831482,0.028006222699248573,153515991.36937556,25.63456126052703,60.700776057230826,114.57670922756498,Developing
231,FLK,Falkland Islands,Stanley,South America,3791,3780,3747,3408,3187,3080,2332,2240,2274,12173,0,0.29%,0.00%,23.084415584415584,17.571383746470033,0.009071342682805517,4038.377300192709,0.18680686765793147,0.25301897642323173,0.311426928448205,Developing
209,FRO,Faroe Islands,Trshavn,Europe,53270,53090,52415,48816,48410,45660,47479,43054,38416,1393,39,0.34%,0.00%,16.666666666666664,8.273084073538525,0.006724713497258117,55828.73746917811,27.57788944723618,32.77817659727207,38.24120603015076,Developing
