rank,cca3,country/territory,capital,continent,2023_population,2022_population,2020_population,2015_population,2010_population,2000_population,1990_population,1980_population,1970_population,area_(km_),density_(kmâ²),growth_rate,world_percentage,growth_2000_to_2023,growth_2010_to_2020,projected_growth_rate,projected_population_2030,density_1970,density_2000,density_2023,development_status
20,THA,Thailand,Bangkok,Asia,71801279,71697030,71475664,70294397,68270489,63066603,55228410,45737753,35791728,513120,141,0.15%,0.90%,13.84992307259676,4.694817697878214,0.005655538201394972,74692488.31751364,69.75313376987839,122.90809752104771,139.93077447770503,Developing
155,TLS,Timor-Leste,Dili,Asia,1360596,1341296,1299995,1205813,1088486,878360,758106,642224,554021,14874,91,1.44%,0.02%,54.901862562047455,19.43148556802752,0.019209192845556,1554434.8161598532,37.247613284926715,59.053381739948904,91.47478822105688,Developing
100,TGO,Togo,Lom,Africa,9053799,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,56785,166,2.32%,0.11%,80.78545776936463,28.46570717095858,0.026079524809969445,10841715.303013125,38.6965395791142,88.19292066566875,159.43997534560182,Developing
233,TKL,Tokelau,Nukunonu,Oceania,1893,1871,1827,1454,1367,1666,1669,1647,1714,12,189,1.18%,0.00%,13.62545018007203,33.65032918800293,0.005569247811010536,1968.0426112645923,142.83333333333334,138.83333333333334,157.75,Developing
197,TON,Tonga,NukuÔalofa,Oceania,107773,106858,105254,106122,107383,102603,98727,96708,86484,747,150,0.86%,0.00%,5.038839020301551,-1.9826229477664061,0.002139676770289034,109397.59429287714,115.77510040160642,137.35341365461846,144.2744310575636,Developing
153,TTO,Trinidad and Tobago,Port-of-Spain,North America,1534937,1531044,1518147,1460177,1410296,1332203,1266518,1127852,988890,5130,299,0.25%,0.02%,15.217951017975489,7.647401680214649,0.006177934547891839,1602559.1869568594,192.76608187134502,259.688693957115,299.20799220272903,Developing
79,TUN,Tunisia,Tunis,Africa,12458223,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,163610,80,0.83%,0.16%,25.92565526058199,11.625999776228921,0.010073069537856583,13363667.006886391,30.850216979402237,60.468895544282134,76.14585294297414,Developing
18,TUR,Turkey,Ankara,Asia,85816199,85341241,84135428,79646178,73195345,64113547,54324142,44089069,35540990,783562,110,0.56%,1.07%,33.85033743336646,14.946419065310778,0.012756861784994245,93779008.1767568,45.358235851151534,81.8231958670788,109.52062376684934,Developing
111,TKM,Turkmenistan,Ashgabat,Asia,6516100,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,488100,14,1.33%,0.08%,42.611331867847106,18.649840450875764,0.015552429325473627,7259457.822294342,4.51020692481049,9.361057160417948,13.349928293382504,Developing
212,TCA,Turks and Caicos Islands,Cockburn Town,North America,46062,45703,44276,36538,29726,18744,11709,7598,5665,948,49,0.79%,0.00%,145.74263764404608,48.947049720783156,0.03986608426590754,60559.8355240149,5.975738396624473,19.772151898734176,48.58860759493671,Developing
227,TUV,Tuvalu,Funafuti,Oceania,11396,11312,11069,10877,10550,9638,9182,7731,5814,26,380,0.74%,0.00%,18.240298817181987,4.919431279620853,0.007311328561899533,11992.189096110314,223.6153846153846,370.6923076923077,438.3076923076923,Developing
31,UGA,Uganda,Kampala,Africa,48582334,47249585,44404611,37477356,32341728,24020697,17586630,13284026,10317212,241550,242,2.82%,0.61%,102.25197462005369,37.29820187715387,0.031097385568834346,60197183.928782254,42.712531566963364,99.44399503208446,201.1274435934589,Developing
38,UKR,Ukraine,Kiev,Europe,36744634,39701739,43909666,44982564,45683020,48879755,51589817,49973920,47279086,603500,63,-7.45%,0.46%,-24.826476728453322,-3.8818668292945606,-0.012330784266286865,33687947.32075229,78.34148467274234,80.99379453189727,60.88588898094449,Developing
97,ARE,United Arab Emirates,Abu Dhabi,Asia,9516871,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,83600,134,0.80%,0.12%,190.56193675574363,9.497049613812965,0.04746812006281087,13166789.135299256,3.565598086124402,39.17862440191387,113.83816985645933,Developing
21,GBR,United Kingdom,London,Europe,67736802,67508936,67059474,65224364,62760039,58850043,57210442,56326328,55650166,242900,280,0.34%,0.85%,15.1006839536209,6.850593257279525,0.0061333879699208005,70699056.20202562,229.10731165088515,242.28095100864553,278.8670317002882,Developing
3,USA,United States,"Washington, D.C.",North America,339996563,338289857,335942003,324607776,311182845,282398554,248083732,223140018,200328340,9372610,37,0.50%,4.25%,20.395999973852557,7.956466237719499,0.008102918617552302,359756485.14578813,21.37380516206265,30.13019361735952,36.27554789967789,Developed
200,VIR,United States Virgin Islands,Charlotte Amalie,North America,98750,99465,100442,102803,106142,108185,100685,96640,63446,347,285,-0.72%,0.00%,-8.721172066367796,-5.370164496617739,-0.003959588806293657,96045.23348679401,182.84149855907782,311.7723342939481,284.5821325648415,Developing
133,URY,Uruguay,Montevideo,South America,3423108,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,181034,20,0.01%,0.04%,3.9755496588324486,2.279837656827388,0.0016964628493878475,3463965.699616689,15.412933482108333,18.185666780825702,18.908646994487224,Developing
43,UZB,Uzbekistan,Tashkent,Asia,35163944,34627652,33526656,30949417,28614227,24925554,20579100,15947129,12011361,447400,80,1.55%,0.44%,41.07587739072921,17.167785102145167,0.0150745659544671,39046598.10023283,26.84702950379973,55.712011622708985,78.59620920876173,Developing
181,VUT,Vanuatu,Port-Vila,Oceania,334506,326740,311685,276438,245453,192074,150882,118156,87019,12189,27,2.38%,0.00%,74.15475285567021,26.983577304005244,0.024413868211393686,396033.6207747691,7.139141849208302,15.757978505209616,27.44326852079744,Developing
234,VAT,Vatican City,Vatican City,Europe,518,510,520,564,596,651,700,733,752,1,1177,1.57%,0.00%,-20.43010752688172,-12.751677852348994,-0.00988707654133636,483.19548105175886,752.0,651.0,518.0,Developing
51,VEN,Venezuela,Caracas,South America,28838499,28301696,28490453,30529716,28715022,24427729,19750579,15210443,11355475,916445,33,1.90%,0.36%,18.056406307766064,-0.7820610410815635,0.007243164157529458,30332831.51593677,12.390787226729373,26.654877270321734,31.467790211087408,Developing
16,VNM,Vietnam,Hanoi,Asia,98858950,98186856,96648685,92191398,87411012,79001142,66912613,52968270,41928849,331212,315,0.68%,1.23%,25.136102462923894,10.568088377697766,0.009796886110960523,105841060.66153577,126.59217963117278,238.5213760371001,298.4763535137616,Developing
226,WLF,Wallis and Futuna,Mata-Utu,Oceania,11502,11572,11655,12182,13142,14723,13454,11315,9377,142,42,-0.60%,0.00%,-21.877334782313387,-11.314868360980064,-0.010676938742760322,10669.407236891573,66.03521126760563,103.6830985915493,81.0,Developing
172,ESH,Western Sahara,El Aain,Africa,587259,575986,556048,491824,413296,270375,178529,116775,76371,266000,2,1.96%,0.01%,117.2016643550624,34.53989392590299,0.03429928357128853,743623.7437974289,0.287109022556391,1.0164473684210527,2.2077406015037595,Developing
46,YEM,Yemen,Sanaa,Asia,34449825,33696614,32284046,28516545,24743946,18628700,13375121,9204938,6843607,527968,65,2.24%,0.43%,84.9287658290702,30.47250426427539,0.027090920476386948,41538350.8740512,12.962162479544215,35.283767198012,65.24983521728589,Developing
63,ZMB,Zambia,Lusaka,Africa,20569737,20017675,18927715,16248230,13792086,9891136,7686401,5720438,4281671,752612,28,2.76%,0.26%,107.96132011530324,37.23605696774223,0.03234611782886421,25704315.400879033,5.6890814921898665,13.14241069767689,27.331130781863695,Developing
74,ZWE,Zimbabwe,Harare,Africa,16665409,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,390757,43,2.11%,0.21%,40.81846431621787,22.04007376767078,0.014993967404755004,18495249.90346228,13.31497068510609,30.286536133709696,42.64903507806642,Developing
